Company,Region,Location,Contact Name,Contact Title,LinkedIn URL,Company Website,Industry,Company Description,Contact Background
Quadrature Capital,London,"London, UK",Lyle H.,Chief Technology Officer,https://linkedin.com/in/lyle-h-22a77a1,quadrature.ai,Quantitative Trading / Investment Management,"Quant hedge fund, 170 employees, $4.8M revenue, founded 2010. Operates in 6 countries. Systematic quantitative trading strategies.","CTO since Jun 2023. Previously Incoming CTO from Jan 2023. Background in quantitative development at Quantitative Risk Management."
3AI,London,"London, UK",Jacob Ayres-Thomson,CEO & Founder,https://linkedin.com/in/alchematician,3ai.ai,AI / Investment Analytics,"ML company building advanced AI for investment professionals. 11 employees, $2.4M funding. Partners with S&P Dow Jones Indices and top-tier hedge funds.","Award-winning data scientist. Previously Chief ML Research Officer at Alchematics (10 years). Solved problems of greater complexity than AlphaGo. Innovated novel algorithms for investing/trading. Believes good data science is the essence of good investment & trading."
OTI Capital,London,"London/Cobham, UK",Johan Andreasson,Director of Quantitative Research,https://linkedin.com/in/johan-andreasson-a5128a4b,oticapital.com,Quantitative Trading / Hedge Fund,"Quant hedge fund specializing in algorithmic trading. 3 employees, founded 2018. Uses AI and deep reinforcement learning for automated strategies.","Leads end-to-end strategy development: research to deployment. Built proprietary algo-trading platform. Developed AI-based training framework using deep reinforcement learning for automated trading strategies on portfolio level."
Boltzmann Research,London,"London, UK",Chariton Christou,CEO & Co-Founder,https://linkedin.com/in/chariton,boltzmannresearch.com,Quantitative Research / FX-CFD,"Quant research team developing ML trading models. 6 employees. Backed by Andromeda Capital Partners Suisse. Gen 2 AI pricing engine for FX/CFD brokers.","PhD in Computational Fluid Dynamics. Contributed to ESA's Rosetta Mission. Applies aerospace-grade predictive mathematics to institutional trading. 6+ years leading quant research at Tickmill before founding. Passionate about applying scientific rigor to algorithmic trading."
Sibylla AI,London,"London, UK",Khan Baykaner,Chief Technology Officer,https://linkedin.com/in/khanbaykaner,sibylla.ai,Deep Learning / Algorithmic Trading,"Cutting edge deep learning applied to algorithmic trading. 9 employees (+50% YoY), founded 2019. Proprietary deep learning model for predicting financial markets.","CTO leading design & implementation of production AI systems. Focus on building AI trading strategies combining ML, systems engineering, and applied research."
EverestQuant,London,"London, UK",Z. Elemer Gidofalvy,Co-Founder & Senior Partner / COO,https://linkedin.com/in/z-elemer-gidofalvy-b5aba016,everestquant.com,Quantitative Hedge Fund,"Multi-strategy systematic quant hedge fund. 10 employees, founded 2024. Raised $100M+ across Principia Fund and Everest Flagship Fund. 4 systematic strategies: European Electricity, Quant Macro, Systematic Commodities, Systematic Volatility.","Co-Founder overseeing operations. Previous experience at Wood & Co as Senior Adviser. Leveraging Hungary/CEE STEM talent pool for quant research team. London HQ + Budapest Quant Research office."
Bayforest Technologies,London,"London, UK",Andrey Ushenin,Chief Technical Architect,https://linkedin.com/in/andrey-ushenin-521a2666,bayforest.tech,Quantitative Investment / ML,"Multi award-winning quant investment company. 17 employees. Specializes in streaming and online learning algorithms. Proprietary framework from alpha prototyping to execution. Offices in London, Greece, Hong Kong, Canada.","C-Level Chief Technical Architect since Apr 2021. Leads technical architecture for the firm's streaming/online learning trading systems."
Kvasir Technologies,London,"London, UK",Philip Tromans,Chief Technology Officer,https://linkedin.com/in/philiptromans,kvasir.tech,AI Hedge Fund,"AI hedge fund using ML/deep learning for systematic trading. 9 employees, $2.7M funding. Featured on Flirting with Models podcast.","CTO focused on quantitative problems. Principal interest in working on quantitative problems with real-world impact."
Kvasir Technologies (alt contact),London,"London, UK",Martin Oberhuber,Co-Founder & CIO,https://linkedin.com/in/martinoberhuber,kvasir.tech,AI Hedge Fund,"AI hedge fund using ML/deep learning. Full-stack application of machine learning to systematic trading.","Co-founded Kvasir with Mads Ingwar. Background as Quantitative Researcher at RGM Advisors. Featured on Flirting with Models podcast discussing systematic hedge fund powered by ML."
ABEX Capital,London,"London, UK",Douglas Cullen,Former CTO (Oct 2022-Mar 2025),https://linkedin.com/in/douglas-j-cullen,abex.io,Algorithmic Execution / Digital Assets,"Agency execution technology for institutional digital-asset trading. 5 employees, $12M funding. Ultra-low latency C++ trading engine with ML optimization. Strategic investment from Further Asset Management.","Architected highly scalable 24/7 trading system combining Kubernetes microservices with low-latency monolithic trading. Cloud native on AWS with Terraform IaC. Previously built HFT infrastructure at Liquid Capital Group and JP Morgan."
ABEX Capital (alt contact),London,"London, UK",Erkan Kaya,CEO,N/A - search for profile,abex.io,Algorithmic Execution / Digital Assets,"Current CEO. 20 years expertise in ultra-high-frequency trading systems, matching engines, and dark pools. Previously JP Morgan, Morgan Stanley, Tibra.","Seasoned finance professional with two decades developing ultra-HFT systems, matching engines, and dark pools for delta one products and options."
Spark Digital Trading,London,"London, UK",Richard Lester,Chairman,https://linkedin.com/in/richard-lester-531b1776,sparkdigitaltrading.com,Quantitative Trading / Digital Assets,"London-based quant trading firm, institutional backing, founded 2022. Deploys quant strategies in digital asset markets. 4 employees.","Chairman overseeing strategic direction. Background in business consulting and change consulting across traditional and digital assets."
Machine Factor Technologies,London,"London, UK",Alexander Kostyuchenko,Chief Technology Officer,https://linkedin.com/in/alexander-kostyuchenko-802a3822,machinefactor.tech,Quantitative Trading / ML,"London-based AI and ML firm focused on quantitative trading and factor investing.","CTO since Aug 2022. C-Level engineering and technical leadership."
Z22 Technologies,Switzerland,"Cham, Zug, Switzerland",Philipp Baumann,Founder,https://linkedin.com/in/philipp-baumann-715a9691,z22.ch,ML Hedge Fund / Volatility Trading,"ML hedge fund specializing in volatility trading. 5 employees, Swiss-regulated. Systematic machine quant approach. Spin-off from leading Swiss universities.","Founded Z22. Background in structured solutions, sales leadership, hedge fund management. Builds systematic strategies for high-uncertainty environments."
Z22 Technologies (alt contact),Switzerland,"Cham, Zug, Switzerland",Armin Herbsthofer,Co-Founder,https://linkedin.com/in/armin-herbsthofer,z22.ch,ML Hedge Fund / Volatility Trading,"Same as above. Co-founder with Philipp Baumann.","Co-founded Z22. Technical co-founder."
