Company,Region,Location,Contact Name,Contact Title,LinkedIn URL,Company Website,Industry,Company Description,Contact Background
Karl Finance LLP,London,"London, UK",Ray Lovell,Co-Founder,https://linkedin.com/in/raymondlovell,karl.finance,Algorithmic Trading / Hedge Fund,"Algorithmic hedge fund innovator and sponsor, 2 employees, founded 2021. VISOR patent-pending AI system for volatility trading across global futures. Sponsors The Amplitude Fund under FCA regulatory umbrella.","Co-Founder since Jan 2021. Capital introduction and asset optimization background. The other co-founder is Keiron Allen."
AWR Capital,London,"London, UK",Dave Askey,CEO / Managing Partner,https://linkedin.com/in/dave-askey-73b0925b,awrcapital.com,Systematic Trading / Hedge Fund,"Fully systematic multi-strategy hedge fund and consultancy. 4 employees, founded 2021. Presence in Japan and Hong Kong. Multi-asset investment strategies.","CEO with deep technical background. Previously CTO at Post-Quantum (security) and CTO at Tramonex (fintech). Richard Griffiths serves as Head of Quant Research."
sumtyme.ai,London,"London, UK",Morgan Churchill,Co-Founder & Head of Sales,https://linkedin.com/in/morgan-churchill-1365451b0,sumtyme.ai,AI Research / Trading,"AI research lab building autonomous world models for trading. 4 employees, founded 2024. Fintech Sandbox Data Access Residency participant. Builds causal reasoning models for predicting market shifts.","Co-Founder since Sep 2024. Presents at QuantStrats and Fintech Sandbox Demo Day. Co-founded with Mustapha Sadiq (Harvard). Pioneering autonomous learning algorithms."
Leopard Labs,London,"London, UK",Fred Russias,Founding Engineer,https://linkedin.com/in/fredrussias,leopardlabs.ai,AI / Institutional Capital,"Building the AI Operating System for institutional capital. 5 employees. Partnering with 60+ hedge funds and asset managers to turn legacy processes into adaptive intelligent systems.","Founding Engineer with 15+ years experience as CTO and product strategist. Specialises in LLMOps AI automation and SaaS strategy. Previously co-founded Sourcing Playground."
SilverTide,London,"London, UK",Itay Desau,CEO,https://linkedin.com/in/itaydesau,silvertidefinancial.com,Quantamental Fintech,"Leading fintech specializing in buy-side brokerage services. 18 employees (+25% YoY), founded 2022. Software provides portfolio managers with trade ideation optimization and execution. Covers interest rate derivatives for largest hedge funds.","CEO with 26-year career spanning trading sales and technology. Previously Head of Futures Sales. SilverTide has presence in UAE and Poland."
Unsigned Research,London,"London, UK",Charles Fried,Co-Founder,https://linkedin.com/in/charles-fried,unsigned-research.com,Proprietary Quantitative Trading,"Proprietary trading firm specializing in medium-frequency quantitatively engineered strategies. 6 employees. Vertically integrated stack coupling research execution and risk surveillance. Digital asset focused.","Co-Founder since Jan 2022. Building quant firm with a team of mathematicians physicists and financial experts. Co-founded with Alexander Nestor-Bergmann (Cambridge mathematician)."
AlgoTraders,London,"London, UK",Francesco Parrella,CEO,https://linkedin.com/in/francesco-parrella-8773933,algotraders.ai,Systematic Quantitative Trading,"Research group focused on systematic quantitative trading strategies. 6 employees, founded 2014. $1.8M in funding. Shortlisted for Hedgeweek European Awards 2026 in 4 categories including Quant Technology Solution of the Year.","CEO since 2014. Previously Quantitative Developer at S.A.C. Capital Advisors and G-Research. Deep hands-on technical quant development background."
Corvus Research,London,"London, UK",Stanley Speel,CEO & Co-Founder,https://linkedin.com/in/stanley-speel-7a8157106,corvusresearch.com,ML / Quantitative Finance,"Technology company developing cutting-edge statistical models and ML for quantitative finance. 3 employees, founded 2022. Mission to build fully automated machine for alpha generation.","CEO & Co-Founder. ML Research Scientist by training. Previously Product Owner and Tech Lead at Mind Foundry. Developed ML algorithms for large-scale time-series forecasting."
XY Capital,London,"London, UK",Michael Roh,COO,https://linkedin.com/in/michael-roh-50b34940,xycapitalgroup.com,Systematic Arbitrage / Proprietary Trading,"Quantitative and systematic trading firm. 23 employees, founded 2016. Systematic arbitrage across global equities and futures. Presence in UK HK India Germany France.","COO based in Hong Kong. Previously at Liquid Capital Group and Wolverine Trading. Oversees operations across 5 countries."
Seamless Capital,London,"Cambridge, UK",Jacques Donnelly,Quantitative Developer,https://linkedin.com/in/jacques-donnelly-107a90136,seamless-capital.com,ML / Quantitative Trading,"Cambridge-based quantitative trading firm with unique ML focus. 3 employees, founded 2015. Team of world-class poker players traders scientists and Kagglers. £50M+ annual traded volume across crypto and alternative assets.","Quantitative Developer since Jul 2020. Builds and maintains ML-driven trading strategies in algorithmic and HFT environment. Most senior current technical person at the firm."
